word,count
luck,",2
fitted,1
rope,10
lashings,1
oars,13
onto,14
thole,1
pins,1
leaning,3
forward,7
thrust,1
blades,1
water,,8
began,10
dip,5
push,1
below,6
hills.,1
someone,3
speak,3
silent,1
oars.,1
apart,1
mouth,12
headed,4
ocean,14
hoped,3
behind,9
rowed,6
ocean.,3
phosphorescence,4
weed,6
sudden,5
seven,1
hundred,11
fathoms,6
sorts,1
congregated,1
swirl,2
steep,1
concentrations,1
shrimp,1
bait,15
schools,3
squid,1
deepest,2
holes,1
rose,14
close,4
surface,13
wandering,1
fed,2
dark,32
trembling,1
sound,3
flying,22
hissing,2
stiff,3
set,6
wings,5
soared,1
away,15
darkness.,1
fond,1
principal,1
friends,2
sorry,8
birds,,1
especially,2
small,22
delicate,5
terns,1
looking,8
finding,,1
birds,6
harder,3
robber,1
fine,3
swallows,1
cruel?,1
she,7
beautiful.,2
cruel,2
comes,5
suddenly,3
fly,,1
dipping,2
hunting,,1
voices,1
delicately,1
sea.",1
_la,1
mar_,2
call,1
spanish,1
love,6
her.,2
woman.,1
younger,1
buoys,1
floats,1
motorboats,,1
money,,1
_el,1
masculine.,1
contestant,1
enemy.,2
feminine,1
withheld,1
favours,,1
wild,3
wicked,1
affects,1
woman,,1
rowing,2
steadily,15
effort,5
since,14
kept,8
within,1
speed,6
flat,4
occasional,1
swirls,1
current.,6
letting,1
third,4
further,4
hour.,1
worked,9
wells,1
week,1
nothing,,1
bonita,1
albacore,2
drifting,1
fathoms.,2
second,5
seventy-five,1
fourth,1
blue,14
twenty-five,1
hung,5
shank,2
tied,4
sewed,1
solid,4
projecting,5
hook,,1
curve,1
point,,1
sardine,2
hooked,12
half-garland,1
steel.,1
smelling,1
tasting.,1
given,2
tunas,,1
albacores,,1
plummets,1
runner,1
jack,1
before;,1
condition,1
excellent,3
scent,7
attractiveness.,1
line,,5
thick,1
pencil,,1
looped,1
green-sapped,1
stick,4
pull,22
touch,4
forty-fathom,3
coils,11
fast,29
spare,1
that,,3
necessary,,1
line.,12
watched,23
sticks,2
straight,14
proper,2
depths.,1
rise.,1
thinly,1
boats,,1
low,5
toward,8
shore,,1
brighter,1
glare,3
then,,8
clear,,1
sharply,1
straighter,1
did,,1
level,1
darkness,4
waiting,2
exactly,6
swam,12
there.,4
drift,1
sixty,1
hundred.,1
but,,3
precision.,1
more.,5
knows?,2
lucky.,2
rather,3
exact.,1
ready.,3
hours,8
higher,5
look,11
east.,1
sight,6
showed,10
inshore.,1
has,26
yet,2
good.,6
blackness.,1
force,2
painful.,1
man-of-war,2
black,4
circling,8
sky,9
ahead,6
quick,4
drop,,1
slanting,3
back-swept,1
wings,,2
circled,2
"he's,7
got,5
something,",1
aloud.,25
looking.",1
slowly,23
circling.,2
hurry,1
crowded,1
little,25
correctly,1
faster,1
trying,4
bird.,4
air,8
again,,7
motionless.,1
dove,1
spurt,1
desperately,2
surface.,2
"dolphin,",1
"big,1
shipped,2
bow.,10
wire,5
leader,2
medium-sized,1
baited,2
ring,1
bolt,1
stern.,6
shade,3
watching,7
long-winged,1
working,,1
now,,14
dipped,1
again,31
dive,1
swinging,4
wildly,2
ineffectually,1
followed,2
slight,1
bulge,1
dolphin,17
raised,3
escaping,1
cutting,7
flight,2
driving,5
speed,,1
dropped.,2
school,5
dolphin,,1
wide,10
chance.,2
fast.,6
burst,1
ineffectual,1
movements,2
gotten,1
me,,6
moving,9
far.,1
pick,3
stray,1
somewhere.,1
clouds,6
mountains,2
gray,2
hills,3
purple.,1
red,3
sifting,1
plankton,3
now.,18
happy,2
meant,5
higher,,1
shape,3
land.,2
yellow,,1
sun-bleached,1
sargasso,2
purple,,1
formalized,,1
iridescent,,1
gelatinous,1
bladder,1
portuguese,2
floating,1
righted,4
itself.,2
floated,3
cheerfully,1
bubble,2
deadly,1
purple,12
filaments,4
trailing,2
yard,2
"_agua,1
mala_,",1
whore.",1
swung,10
lightly,6
tiny,2
coloured,1
drifted.,1
immune,1
poison.,1
catch,3
rest,10
slimy,1
welts,1
sores,1
arms,5
poison,2
ivy,1
oak,1
give.,1
poisonings,1
_agua,1
mala_,1
quickly,3
struck,4
whiplash.,1
iridescent,1
bubbles,1
falsest,1
thing,8
turtles,7
them,,6
approached,1
front,,1
shut,5
completely,2
carapaced,1
ate,8
all.,2
walk,1
beach,3
storm,1
hear,4
pop,1
stepped,4
horny,1
soles,1
hawks-bills,1
elegance,1
value,1
friendly,2
contempt,1
huge,,1
stupid,1
loggerheads,,1
armour-plating,,1
love-making,,1
happily,1
men-of-war,1
shut.,2
mysticism,1
turtle,3
years.,1
all,,1
trunk,1
backs,2
weighed,2
ton.,1
heartless,1
turtle's,1
beat,8
butchered.,1
feet,9
theirs.,1
eggs,1
strength.,5
september,2
october,1
also,5
cup,1
liver,1
oil,1
drum,1
gear.,2
hated,1
taste.,2
worse,2
colds,1
grippes,1
found,7
broke,2
scattering,1
watched,,1
tuna,10
air,,2
shone,1
silver,7
jumping,4
directions,,1
churning,1
leaping,1
jumps,3
bait.,2
travel,1
dropping,1
forced,2
panic.,1
help,",1
taut,3
foot,,1
loop,2
felt,40
tuna's,1
firm,2
commenced,4
haul,1
in.,6
increased,3
gold,3
sun,,2
compact,1
bullet,1
shaped,,1
big,,1
unintelligent,1
staring,1
thumped,1
planking,4
strokes,1
neat,,1
fast-moving,2
tail.,8
hit,25
kindness,1
kicked,2
body,5
shuddering,,1
"albacore,",1
"he'll,4
beautiful,4
he'll,3
weigh,1
ten,5
pounds.",2
aloud,6
sung,2
steering,1
watch,3
smacks,1
probably,2
aloud,,4
alone,,2
left.,2
remember.,1
necessary.,1
talked,1
storm-bound,1
weather.,2
considered,2
virtue,1
unnecessarily,1
respected,1
thoughts,2
annoy.,1
talking,1
loud,1
crazy,",1
crazy,,1
care.,2
rich,1
radios,1
baseball,,1
thing.,2
born,6
for.,2
school,,1
straggler,1
feeding.,1
shows,2
travels,1
north-east.,1
day?,1
sign,1
know?,1
shore,1
tops,1
snow-capped,1
snow,1
above,7
prisms,3
myriad,1
flecks,1
annulled,1
mile,4
deep.,3
tuna,,1
species,1
distinguished,1
among,3
sell,3
trade,5
baits,,1
hot,3
sweat,4
trickle,1
rowed.,1
drift,,1
bight,1
toe,1
eighty-five,1
well.,5
sharply.,1
bumping,1
softly,1
thumb,5
forefinger,2
hand.,16
strain,12
lightly.,1
tentative,1
pull,,2
heavy,,1
was.,5
point,10
hand-forged,1
projected,1
tuna.,3
delicately,,1
softly,,2
hand,,7
unleashed,2
stick.,1
run,2
fingers,7
tension.,1
out,,2
huge,9
month,,1
six,3
cold,9
turn,9
pulling,8
sardine's,1
break,6
hook.,2
on,",1
"make,1
turn.,4
aren't,1
lovely?,1
lovely.,1
shy,,1
finger,,1
swum,1
"god,4
it.",10
though.,1
gone,",2
"christ,1
knows,7
he's,3
remembers,1
gentle,3
turn,",1
unbelievably,1
heavy.,2
slip,3
down,,7
unrolling,1
reserve,9
coils.,3
slipping,1
fingers,,1
weight,,1
pressure,4
finger,2
imperceptible.,1
sideways,1
swallow,2
it,,11
happen.,1
crosswise,1
mouth.,3
stop,2
tightened,1
well.",3
free,3
next,9
coil,2
using.,1
"eat,3
more,",1
goes,5
easy,4
right.,2
ready?,1
table?,1
"now!",1
hands,,2
gained,3
alternately,1
cord,7
strength,10
pivoted,2
body.,2
happened.,2
moved,13
raise,2
inch.,1
beads,1
slow,4
bracing,2
pull.,1
move,2
north-west.,2
travelled,1
calm,6
done.,1
wish,22
